name,rating,votes,location,cuisines,cost(2),cost category
De Street Cafe,4,61,BTM,Cafe,500,Medium
Cafe Hush,4,22,BTM,"Cafe, Fast Food",500,Medium
Cafe Velvette,4,11,Domlur,"Cafe, American, Italian, Continental",400,Low
Granos De Cafe,4,31,BTM,"Cafe, Beverages",500,Medium
Cafe 221B,4,49,BTM,"Cafe, Beverages",300,Low
FreshMenu,4,584,Koramangala,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Low
Fattoush,4,1285,BTM,"Arabian, Mughlai, Biryani, North Indian, Chinese, Seafood",900,Medium
New Tasty Cafeteria,4,376,BTM,"North Indian, Kerala",500,Medium
Shiv Shakthi,4,176,HSR,"Street Food, North Indian",100,Low
Gogula's Sweets & Chats,4,206,BTM,"Mithai, Street Food, Fast Food",200,Low
Chettayees,3,152,BTM,"Kerala, North Indian, Chinese",400,Low
Leon Grill,4,168,Koramangala 5th Block,"Burger, Fast Food",500,Medium
Khatta Meetha Teekha,4,190,Koramangala 6th Block,"Street Food, North Indian, Mithai, Chinese, Beverages",300,Low
Chaat Street,4,293,Koramangala 6th Block,"Street Food, North Indian",250,Low
Truly Punjab,4,385,Koramangala 1st Block,"North Indian, Biryani",500,Medium
Kannur Food Point,4,216,BTM,"Kerala, Chinese",200,Low
CakeZone,4,16,BTM,"Bakery, Desserts",200,Low
Bhojohori Manna,4,1959,Koramangala 6th Block,"Bengali, Mughlai",650,Medium
Abhiruchi Hotel,4,738,BTM,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",600,Medium
Cake Box,4,98,Koramangala 8th Block,"Bakery, Desserts",400,Low
Momoz,4,626,Koramangala 5th Block,"Chinese, Momos",600,Medium
Hotel Manu,4,341,HSR,"South Indian, Kerala, Chinese, North Indian",400,Low
Just Shawarma,4,412,Koramangala 5th Block,Arabian,300,Low
Kota Kachori,4,3614,Koramangala 6th Block,"Street Food, Desserts, North Indian, Mithai, Rajasthani",400,Low
Sagar Fast Food,4,138,Koramangala 8th Block,"South Indian, North Indian, Street Food, Chinese",250,Low
Kitchens@BTM,4,225,BTM,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",400,Low
Hatti Punjab Di,4,229,Koramangala 1st Block,"North Indian, Chinese",250,Low
Wok Paper Scissors,4,1588,Koramangala 5th Block,"Asian, Malaysian, Chinese, Thai, Momos",550,Medium
Corner House Ice Cream,5,277,Koramangala 5th Block,"Ice Cream, Desserts",400,Low
Taco Bell,4,1962,Koramangala 6th Block,"Mexican, American, Fast Food",600,Medium
Ambur Biryani Point,4,426,Koramangala 1st Block,"Biryani, Kebab",250,Low
Five Star Chicken,4,82,HSR,"Fast Food, Burger",300,Low
30 Square,4,556,Koramangala 5th Block,"Tibetan, Nepalese, Momos",400,Low
Biryani Pot,4,1076,BTM,Biryani,500,Medium
A2B - Adyar Ananda Bhavan,4,41,HSR,"South Indian, North Indian, Chinese, Street Food",200,Low
Subway,3,382,HSR,"Salad, Fast Food",600,Medium
Kolkata Rolls & Fast Food,4,142,HSR,"Rolls, Fast Food",200,Low
The Good Bowl,4,13,HSR,"Italian, North Indian, Biryani",500,Medium
Namma Biriyani,4,15,Koramangala 5th Block,"Biryani, Chinese, North Indian",250,Low
Dum Biryani Hub,4,65,BTM,Biryani,700,Medium
Madeena Hotel,4,89,Koramangala 5th Block,"North Indian, Mughlai, Biryani",400,Low
Pizza Hut,4,490,Koramangala 6th Block,"Pizza, Fast Food",750,Medium
KFC,4,646,HSR,"Burger, Fast Food",400,Low
Shree Muthahalli Veg,4,848,HSR,"South Indian, North Indian, Chinese, Juices, Ice Cream",300,Low
Anand Sweets And Savouries,4,1076,Koramangala 5th Block,"Mithai, Street Food",400,Low
Maa Bhook Lagi,4,297,Koramangala 4th Block,North Indian,400,Low
Gangothri Veg Restaurant,4,93,Koramangala 6th Block,"North Indian, South Indian, Chinese",300,Low
Ssaffron - Shangri-La Hotel,4,751,Vasanth Nagar,North Indian,3000,High
Hype - Shangri-La Hotel,4,375,Vasanth Nagar,Finger Food,3000,High
Shang Palace - Shangri-La Hotel,4,345,Vasanth Nagar,"Chinese, Asian",2000,High
Carnival de Goa,4,984,Ulsoor,"Goan, Mangalorean, Pizza",1000,Medium
b CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â© - Shangri-La Hotel,4,429,Vasanth Nagar,"North Indian, Italian, Chinese, Japanese",3400,High
The Grill House,4,770,Ulsoor,"American, Mexican, Italian, Steak",1200,High
Watson's,4,495,Vasanth Nagar,"Finger Food, Salad, Chinese, Continental",1300,High
Status Bar& Restaurant,3,4,Majestic,"Chinese, Finger Food",1000,Medium
Blue Heaven Bar And Restaurant,3,6,Majestic,"Chinese, North Indian",750,Medium
Talk To The Hand,3,4,Majestic,"Chinese, North Indian",900,Medium
Nostradamus Bar & Lounge,4,14,Cunningham Road,"North Indian, South Indian, Chinese, Continental",1500,High
Imperial Room,3,4,Majestic,"North Indian, Chinese",1000,Medium
The Green Path - Forgotten Food,4,1143,Malleshwaram,"North Indian, South Indian",1100,High
Barbecued - By The Orchard,4,592,Sadashiv Nagar,North Indian,1200,High
Feast - Sheraton Grand Bangalore Hotel at Brigade...,4,950,Malleshwaram,"North Indian, Continental",2000,High
Mainland China,5,1150,Malleshwaram,Chinese,1700,High
Toscano,4,1099,Malleshwaram,"Italian, Salad, Mediterranean",1500,High
1947,4,1070,Malleshwaram,"North Indian, Chinese",950,Medium
Village - The Soul of India,4,568,Malleshwaram,"North Indian, South Indian",1000,Medium
Sattvam,4,2127,Sadashiv Nagar,"North Indian, South Indian",1200,High
The Raj Pavilion - ITC Windsor,4,371,Sankey Road,"North Indian, Continental, Asian",2400,High
Mint Masala,4,571,Sadashiv Nagar,"Chinese, North Indian",800,Medium
La Brasserie - Le Meridien,4,309,Sankey Road,"North Indian, Continental, Japanese, Chinese, South Indian",4100,High
The Kabab Studio - Goldfinch Hotel,4,358,Seshadripuram,"North Indian, Chinese, Continental",1500,High
Little Italy,4,354,Sadashiv Nagar,"Italian, Pizza, Mexican",1400,High
24/7 - The Lalit Ashok Bangalore,4,344,Seshadripuram,"Continental, North Indian, Italian, Chinese",3000,High
The Golden Metro,4,70,Seshadripuram,"North Indian, Mughlai, Chinese, Continental",800,Medium
La Boulangerie - Le Meridien,4,18,Sankey Road,"Continental, Chinese, North Indian",2000,High
"Lush - Renaissance Hotel, Bengaluru",5,409,Race Course Road,"North Indian, Continental",1200,High
Onesta,4,355,Basaveshwara Nagar,"Pizza, Cafe, Italian",600,Medium
The Higher Taste,4,854,Rajajinagar,"Pizza, Biryani, North Indian, South Indian",800,Medium
Sangam Restaurant,4,81,Rajajinagar,"North Indian, South Indian, Chinese",600,Medium
Coastal Spice,4,56,Rajajinagar,"Seafood, North Indian, Chinese, Continental, Mangalorean",900,Medium
Chef's Bank,3,19,Yeshwantpur,"North Indian, Chinese",700,Medium
Stevie's,4,69,Malleshwaram,Cafe,500,Medium
Clean Slate Cafe,4,272,Malleshwaram,"Cafe, Continental, Italian",600,Medium
The World Cafe,4,31,Malleshwaram,Cafe,600,Medium
Mumbai Bistro,4,504,Malleshwaram,"Cafe, North Indian, Street Food",500,Medium
Starbucks,4,399,Malleshwaram,"Cafe, Desserts",700,Medium
Smoor,4,287,Malleshwaram,"Desserts, Cafe, Continental",700,Medium
Tea Samskruthi,4,18,Malleshwaram,Cafe,200,Low
The Timber Times Cafe,3,4,Malleshwaram,Cafe,400,Low
Shrusti Coffee,4,21,Malleshwaram,"Cafe, South Indian",150,Low
TLP Cafe,4,250,Malleshwaram,"Cafe, Italian",400,Low
Kalmane Koffees,4,117,Malleshwaram,Cafe,350,Low
Cafe Coffee Day,3,21,Malleshwaram,"Cafe, Fast Food",900,Medium
HighTeaParty Cafe,4,72,Malleshwaram,"Cafe, Continental, Steak, Italian",500,Medium
Tata Cha,3,9,Malleshwaram,"Cafe, Tea, North Indian",500,Medium
Art Cafe,4,7,Malleshwaram,Cafe,1000,Medium
Dream Coffee House,3,6,Malleshwaram,"Cafe, Bakery",300,Low
Aubree,4,722,Sadashiv Nagar,"Cafe, Bakery",400,Low
Roll Junction,3,56,Cunningham Road,"Fast Food, Rolls",150,Low
Kerala Kitchen,3,32,Brigade Road,"Kerala, South Indian",200,Low
Daily Bite,4,14,Richmond Road,"Desserts, Fast Food",250,Low
ROYCE' Chocolate,3,6,MG Road,Desserts,1000,Medium
The Good Grain,4,54,Residency Road,"Healthy Food, North Indian, South Indian",550,Medium
The Humming Tree,4,2431,Indiranagar,"Fast Food, European",2000,High
Kadai Crust - Amma Veetu Samayal,4,263,Indiranagar,"Chettinad, South Indian, Biryani",700,Medium
Gundappa Donne Biryani,3,91,Indiranagar,Biryani,300,Low
Little Chef,4,102,Richmond Road,Chinese,550,Medium
The Bite Club,4,23,East Bangalore,"American, Goan",400,Low
Croons,4,26,Brigade Road,Desserts,350,Low
Express Food Delivery,3,38,Ulsoor,"North Indian, Chinese",500,Medium
Gowdara Naati Mane,3,7,Residency Road,"South Indian, Biryani, Mangalorean",500,Medium
Batter Splatter,3,5,Lavelle Road,Bakery,350,Low
Ice & Spice,3,96,Frazer Town,"Continental, Pizza, Fast Food",650,Medium
Vasudev Adiga's,3,301,MG Road,"South Indian, North Indian, Chinese, Street Food",250,Low
Donne Biryani Mane,3,8,Wilson Garden,Biryani,300,Low
Allana Kabab,3,4,Richmond Road,North Indian,200,Low
Arina's,3,5,Frazer Town,"Fast Food, Chinese",250,Low
Kaulige Millet Corner,4,32,Brigade Road,"Healthy Food, South Indian",300,Low
The French Loaf,3,142,Frazer Town,"Bakery, Desserts",300,Low
Rawal Jalebi,4,9,Commercial Street,Desserts,100,Low
Soup Station,4,112,Domlur,"Healthy Food, Sandwich, Salad",150,Low
