name,rating,votes,location,cuisines,cost(2),cost category
Firangi Bake,4,21,Koramangala 1st Block,"Mexican, Italian",600,Medium
Faasos,4,67,Koramangala 1st Block,"North Indian, Biryani, Fast Food",500,Medium
McDonald's,4,510,HSR,"Burger, Fast Food",500,Medium
Bubble Bee,4,46,HSR,"Beverages, Bubble Tea, Desserts",400,Low
Sweet Truth,4,19,Koramangala 1st Block,"Bakery, Desserts",500,Medium
The Good Bowl,4,8,Koramangala 1st Block,"Italian, North Indian, Biryani",500,Medium
Delhi Food Point,3,910,Koramangala 1st Block,"North Indian, Beverages",250,Low
Karama Restaurant,3,11,HSR,Arabian,400,Low
Zangos Grill,4,188,Koramangala 1st Block,"BBQ, Fast Food",300,Low
BOX8- Desi Meals,4,460,HSR,"North Indian, Mughlai, Fast Food",500,Medium
The Burger Place,4,26,Koramangala 1st Block,"Burger, Continental, Fast Food",400,Low
Dabba Gosht,3,15,HSR,"Arabian, Middle Eastern",400,Low
Domino's Pizza,3,332,Sarjapur Road,"Pizza, Fast Food",400,Low
What'sinaPita,4,231,Koramangala 1st Block,"Mediterranean, Middle Eastern, Wraps, Rolls",400,Low
Al-Bek,4,133,HSR,"Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",300,Low
Mamatha Restaurant,3,74,Bommanahalli,"Biryani, Hyderabadi, North Indian",700,Medium
Oliver Wraps,3,8,HSR,"Rolls, Fast Food",300,Low
Cafe Coffee Day The Lounge,4,77,HSR,"Cafe, Fast Food",650,Medium
Moolehatti Donne Biryani Mane,4,218,HSR,"Biryani, Chinese, North Indian, Kebab",400,Low
Mealsbaba,4,57,HSR,North Indian,400,Low
Vijayawada Style,3,22,Bommanahalli,"North Indian, South Indian, Chinese",300,Low
Polar Bear,4,214,Bellandur,"Ice Cream, Desserts, Beverages, Sandwich",400,Low
Wakeup Cafe,3,9,HSR,"Fast Food, Beverages",300,Low
Mark,4,36,HSR,"Andhra, Fast Food",500,Medium
Magnolia,4,671,Koramangala 3rd Block,"Chinese, Thai, Asian",900,Medium
Biriyani Bungalow,3,4,HSR,"Biryani, North Indian",600,Medium
Chefie,4,37,Koramangala 1st Block,"Continental, Fast Food, Italian, North Indian",200,Low
Kitchens@HSR,3,247,HSR,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",200,Low
4K Biryani,3,4,HSR,"North Indian, Chinese",700,Medium
Aligarh House,4,568,HSR,"North Indian, Biryani, Awadhi, Mughlai",400,Low
Namms Cafe,3,7,Koramangala 2nd Block,"Biryani, South Indian, Fast Food, Rolls, Kebab, North Indian",300,Low
Donne Biryani House,4,70,HSR,"South Indian, Biryani",350,Low
Tempteys,4,39,HSR,Beverages,500,Medium
Sardarji Londonwaley,4,307,Koramangala 1st Block,North Indian,450,Low
Mojo Pizza - 2X Toppings,4,217,HSR,Pizza,600,Medium
Silbatti,4,1551,HSR,North Indian,750,Medium
Nellore Abhiruchi,3,7,HSR,"Biryani, South Indian",300,Low
Rolla Rappa,4,176,HSR,"Biryani, Fast Food, Rolls, Momos",400,Low
Kapoor's Cafe,4,917,HSR,North Indian,800,Medium
The Punjabi Rasoi,4,1829,HSR,North Indian,800,Medium
HSR High Street,4,320,HSR,"Hyderabadi, North Indian, South Indian, Biryani",800,Medium
Fish & Fries Restaurant,4,649,HSR,"Continental, Seafood, Bengali, Fast Food",750,Medium
Shaadi Ki Biryani,3,18,HSR,"Biryani, Charcoal Chicken",600,Medium
Ziyan's Cafe 27th,4,60,HSR,Kerala,300,Low
California Burrito,4,110,HSR,"Mexican, Fast Food",400,Low
Asha Tiffins,4,278,HSR,South Indian,150,Low
Punjabi Nawabi,4,988,HSR,North Indian,500,Medium
Burger King,4,352,HSR,"Burger, Fast Food, Beverages",600,Medium
Mustard Food Court,4,338,HSR,"North Indian, Chinese",500,Medium
Apsara Ice Cream,5,194,HSR,"Ice Cream, Desserts",200,Low
de Ranthal,4,33,HSR,Kerala,300,Low
Grilliez,4,564,HSR,"Cafe, Arabian, Continental, Turkish, Fast Food, Burger, Beverages",600,Medium
La Pino'z Pizza,4,498,Koramangala 4th Block,"Italian, Pizza, Beverages",600,Medium
Shankar Maanes Kitchen,4,33,HSR,"South Indian, Biryani, North Indian",500,Medium
Priya Juice & Snacks,4,74,HSR,"Beverages, Juices",200,Low
Krutunga,4,289,HSR,"Andhra, Biryani",500,Medium
Keventers,4,11,HSR,"Desserts, Beverages, Ice Cream",400,Low
Hatti Punjab Di,3,24,HSR,"North Indian, Chinese",600,Medium
Five Star Chicken,3,55,Sarjapur Road,"Roast Chicken, Burger",300,Low
Oh My Biryani,4,439,HSR,"Biryani, North Indian",550,Medium
Kaka-T-Cafe,4,60,HSR,"Arabian, Fast Food",400,Low
Udupi Bhavan,4,170,HSR,"Chinese, North Indian, South Indian",400,Low
Cupcake Noggins,4,104,HSR,"Desserts, Bakery",300,Low
Mayur,4,20,Hosur Road,"Andhra, North Indian, Chinese, Seafood",700,Medium
Ober Cafe,4,10,Koramangala 1st Block,"Fast Food, Desserts",200,Low
Kadal Da Meen,4,117,HSR,"Biryani, Seafood",900,Medium
The Thickshake Factory,4,8,HSR,"Beverages, Juices",350,Low
Udupi Palace,4,446,HSR,"South Indian, North Indian, Chinese, Street Food",400,Low
IceBreakers,4,8,HSR,"Desserts, Ice Cream",400,Low
Chai Days,4,105,Indiranagar,"Cafe, Tea, Beverages, Fast Food",200,Low
Shanmukha,4,138,Old Airport Road,"Biryani, Andhra, North Indian, Chinese",800,Medium
Sri Ganesh Juice Junction,4,129,Koramangala 8th Block,"Juices, Fast Food",150,Low
